train_name,route,temperature,weather,day_of_week,holiday,delay_minutes
Ruhunu Kumari,Matara-Maradana,29,cloudy,Tuesday,No,13
Samudra Devi,Maradana-Galle,25,rainy,Monday,No,18
Rajarata Rejini,Colombo-Vavuniya,34,sunny,Friday,No,15
Udaya Devi,Colombo-Jaffna,29,sunny,Saturday,Yes,12
Rajarata Rejini,Colombo-Vavuniya,18,rainy,Tuesday,No,33
Intercity Express,Batticaloa-Colombo,22,cloudy,Friday,No,8
Ruhunu Kumari,Matara-Maradana,27,cloudy,Monday,No,11
Samudra Devi,Maradana-Galle,28,cloudy,Sunday,No,8
Yal Devi,MT-Lavania-Kankesanturai,28,sunny,Monday,No,22
Podi Menike,Colombo-Kandy,20,rainy,Thursday,No,31
Udaya Devi,Colombo-Matara,27,cloudy,Wednesday,No,5
Podi Menike,Matara-Colombo,24,cloudy,Tuesday,Yes,10
Udaya Devi,Anuradhapura-Colombo,24,cloudy,Saturday,No,7
Ruhunu Kumari,Matara-Maradana,33,sunny,Thursday,No,14
Podi Menike,Kandy-Colombo,18,rainy,Sunday,Yes,12
Rajarata Rejini,Colombo-Vavuniya,28,cloudy,Wednesday,Yes,15
Rajarata Rejini,Colombo-Vavuniya,31,sunny,Tuesday,No,21
Rajarata Rejini,Colombo-Vavuniya,34,sunny,Friday,No,19
Samudra Devi,Maradana-Galle,29,sunny,Friday,Yes,11
Ruhunu Kumari,Maradana-Matara,22,rainy,Wednesday,No,39
Samudra Devi,Galle-Maradana,18,rainy,Thursday,No,46
Rajarata Rejini,Colombo-Vavuniya,29,sunny,Monday,No,16
Ruhunu Kumari,Matara-Maradana,24,sunny,Sunday,No,0
Yal Devi,Matara-Colombo,22,rainy,Thursday,No,34
Podi Menike,Galle-Colombo,25,cloudy,Tuesday,Yes,9
Ruhunu Kumari,Maradana-Matara,28,sunny,Saturday,No,5
Rajarata Rejini,Colombo-Vavuniya,35,sunny,Thursday,Yes,16
Rajarata Rejini,Colombo-Vavuniya,24,sunny,Tuesday,No,20
Intercity Express,Batticaloa-Colombo,25,cloudy,Monday,No,7
Yal Devi,Matara-Colombo,32,sunny,Wednesday,No,14
Samudra Devi,Maradana-Galle,26,sunny,Tuesday,No,11
Udarata Menike,Colombo-Kandy,32,sunny,Sunday,No,7
Ruhunu Kumari,Matara-Maradana,23,cloudy,Monday,No,4
Intercity Express,Colombo-Kandy,24,sunny,Thursday,No,8
Rajarata Rejini,Colombo-Vavuniya,26,sunny,Saturday,No,8
Udarata Menike,Colombo-Jaffna,29,sunny,Monday,No,14
Yal Devi,Colombo-Batticaloa,23,rainy,Sunday,No,31
Ruhunu Kumari,Maradana-Maradana,29,cloudy,Sunday,No,2
Samudra Devi,Maradana-Galle,33,sunny,Wednesday,No,3
Udarata Menike,Badulla–Colombo,25,sunny,Wednesday,No,4
Yal Devi,Colombo-Badulla,32,sunny,Tuesday,No,5
Podi Menike,Colombo-Anuradhapura,26,rainy,Sunday,No,15
Udarata Menike,Badulla–Colombo,27,rainy,Monday,No,19
Intercity Express,Colombo-Jaffna,25,cloudy,Saturday,No,0
Udarata Menike,Badulla–Colombo,31,sunny,Wednesday,No,12
Udaya Devi,Colombo-Batticaloa,27,cloudy,Saturday,No,0
Podi Menike,Jaffna-Colombo,29,cloudy,Sunday,Yes,6
Udaya Devi,Kandy-Colombo,22,cloudy,Saturday,No,0
Ruhunu Kumari,Matara-Maradana,28,cloudy,Thursday,Yes,6
Udaya Devi,Matara-Colombo,31,rainy,Monday,No,22
